column_name,description,unit,pandas_dtype,postgresql_type,null_count,null_percentage,unique_values,nullable,primary_key_candidate,quality_rule
ano,Año al que pertenece la observación.,año,int64,SMALLINT,0,0.0,2,False,False,Valor entero positivo. Rango esperado según los años disponibles en el proyecto.
mes_sin,Transformación seno cíclica del mes del año.,adimensional,float64,DOUBLE PRECISION,0,0.0,11,False,False,Valor comprendido entre -1 y 1.
mes_cos,Transformación coseno cíclica del mes del año.,adimensional,float64,DOUBLE PRECISION,0,0.0,11,False,False,Valor comprendido entre -1 y 1.
dia,Día del mes correspondiente a la observación.,día,int64,SMALLINT,0,0.0,31,False,False,Valor entero comprendido entre 1 y 31.
hora_sin,Transformación seno cíclica de la hora del día.,adimensional,float64,DOUBLE PRECISION,0,0.0,21,False,False,Valor comprendido entre -1 y 1.
hora_cos,Transformación coseno cíclica de la hora del día.,adimensional,float64,DOUBLE PRECISION,0,0.0,22,False,False,Valor comprendido entre -1 y 1.
minuto,Minuto dentro de la hora correspondiente a la observación.,minuto,int64,SMALLINT,0,0.0,60,False,False,Valor entero comprendido entre 0 y 59.
fecha,"Fecha y hora exactas de la observación, con frecuencia temporal de un minuto.",fecha y hora,datetime64[us],TIMESTAMP WITHOUT TIME ZONE,0,0.0,1052640,False,True,Valor obligatorio y único para cada observación.
ghi,Irradiancia solar global medida sobre una superficie horizontal.,W/m²,float64,DOUBLE PRECISION,11868,1.1275,38879,True,False,Puede ser nulo cuando la medición original no está disponible. La validación física se realiza en Python.
dni,Irradiancia solar directa normal medida perpendicularmente a los rayos solares.,W/m²,float64,DOUBLE PRECISION,11868,1.1275,34273,True,False,Puede ser nulo cuando la medición original no está disponible. La validación física se realiza en Python.
dhi,Irradiancia solar difusa medida sobre una superficie horizontal.,W/m²,float64,DOUBLE PRECISION,11868,1.1275,25892,True,False,Puede ser nulo cuando la medición original no está disponible. La validación física se realiza en Python.
ghi_estimado,"Valor estimado de la irradiancia global horizontal obtenido a partir de las componentes directa, difusa y de la elevación solar.",W/m²,float64,DOUBLE PRECISION,11868,1.1275,473019,True,False,Debe ser nulo cuando no existan datos suficientes para calcularlo.
irr_null,Indicador de existencia de valores nulos en las variables de irradiancia de la observación.,booleano,bool,BOOLEAN,0,0.0,2,False,False,Solo admite los valores TRUE o FALSE.
error_balance,Diferencia con signo entre la irradiancia global horizontal medida y la irradiancia global horizontal estimada.,W/m²,float64,DOUBLE PRECISION,11868,1.1275,471964,True,False,Debe ser nulo cuando no pueda calcularse el balance de irradiancia.
error_balance_abs,Valor absoluto del error entre la irradiancia global horizontal medida y la estimada.,W/m²,float64,DOUBLE PRECISION,11868,1.1275,471557,True,False,Valor mayor o igual que cero cuando no sea nulo.
error_balance_rel,Error relativo entre la irradiancia global horizontal medida y la estimada.,adimensional,float64,DOUBLE PRECISION,11868,1.1275,479166,True,False,Debe ser nulo cuando no pueda calcularse el error relativo.
elevacion_solar,Ángulo de elevación del Sol sobre el horizonte en el instante de la observación.,grados,float64,DOUBLE PRECISION,0,0.0,1052640,False,False,Valor comprendido entre -90 y 90 grados.
periodo_solar,Clasificación del instante según exista o no presencia solar sobre el horizonte.,categoría,str,VARCHAR(10),0,0.0,2,False,False,Solo admite las categorías definidas en el dataset para periodo diurno y nocturno.
temperatura,Temperatura del aire asociada al instante de la observación.,°C,float64,DOUBLE PRECISION,94624,8.9892,15840,True,False,Puede ser nulo cuando el dato meteorológico no está disponible o no ha podido imputarse.
velocidad_viento,Velocidad del viento asociada al instante de la observación.,m/s,float64,DOUBLE PRECISION,94681,8.9946,4534,True,False,Valor mayor o igual que cero cuando no sea nulo.
humedad_relativa,Humedad relativa del aire asociada al instante de la observación.,%,float64,DOUBLE PRECISION,94624,8.9892,4012,True,False,Valor comprendido entre 0 y 100 cuando no sea nulo.
direccion_viento_sin,Transformación seno cíclica de la dirección del viento.,adimensional,float64,DOUBLE PRECISION,94681,8.9946,13054,True,False,Valor comprendido entre -1 y 1 cuando no sea nulo.
direccion_viento_cos,Transformación coseno cíclica de la dirección del viento.,adimensional,float64,DOUBLE PRECISION,94681,8.9946,13600,True,False,Valor comprendido entre -1 y 1 cuando no sea nulo.
var_meteo_imp,Indicador de que una o varias variables meteorológicas de la observación han sido imputadas.,booleano,bool,BOOLEAN,0,0.0,2,False,False,Solo admite los valores TRUE o FALSE.
codigo_ghi,Código de clasificación de la calidad de la medición de irradiancia global horizontal: 0 para dato correcto y 1 para irregularidad o anomalía en la captación.,categoría codificada,int64,SMALLINT,0,0.0,2,False,False,Solo admite los valores 0 y 1.
codigo_dni,"Código de clasificación de la calidad de la medición de irradiancia directa normal: 0 para dato correcto, 1 para irregularidad o anomalía y 2 para condición de sombra asociada a una elevación solar igual o inferior a 5 grados.",categoría codificada,int64,SMALLINT,0,0.0,3,False,False,"Solo admite los valores 0, 1 y 2."
codigo_dhi,"Código de clasificación de la calidad de la medición de irradiancia difusa horizontal: 0 para dato correcto, 1 para irregularidad o anomalía y 2 para condición de sombra asociada a una elevación solar igual o inferior a 5 grados.",categoría codificada,int64,SMALLINT,0,0.0,3,False,False,"Solo admite los valores 0, 1 y 2."
