model,target,n_features,f1_macro,balanced_accuracy,f1_weighted,fecha,n_errors
MLP,codigo_ghi,14,1.0,1.0,1.0,2024-12-01,0
HistGradientBoostingClassifier,codigo_dni,18,1.0,1.0,1.0,2024-12-01,0
HistGradientBoostingClassifier,codigo_dhi,21,1.0,1.0,1.0,2024-12-01,0
MLP,codigo_ghi,14,1.0,1.0,1.0,2024-12-02,0
HistGradientBoostingClassifier,codigo_dni,18,1.0,1.0,1.0,2024-12-02,0
HistGradientBoostingClassifier,codigo_dhi,21,1.0,1.0,1.0,2024-12-02,0
MLP,codigo_ghi,14,0.4975575715282624,0.49964961457603363,0.986131464681709,2024-12-03,14
HistGradientBoostingClassifier,codigo_dni,18,0.49773282176491107,0.5,0.9864788009146224,2024-12-03,13
HistGradientBoostingClassifier,codigo_dhi,21,0.0,0.0,0.0,2024-12-03,1440
MLP,codigo_ghi,14,0.4954449894884373,0.5,0.9729989099120143,2024-12-04,26
HistGradientBoostingClassifier,codigo_dni,18,1.0,1.0,1.0,2024-12-04,0
HistGradientBoostingClassifier,codigo_dhi,21,0.4987817612252001,0.9951388888888889,0.9975635224504001,2024-12-04,7
MLP,codigo_ghi,14,0.495974798739937,0.5,0.9761059580756816,2024-12-05,23
HistGradientBoostingClassifier,codigo_dni,18,0.33006077606358114,0.3333333333333333,0.9709287829203678,2024-12-05,28
HistGradientBoostingClassifier,codigo_dhi,21,1.0,1.0,1.0,2024-12-05,0
MLP,codigo_ghi,14,0.4931362196409715,0.5,0.9595608940513903,2024-12-06,39
HistGradientBoostingClassifier,codigo_dni,18,1.0,1.0,1.0,2024-12-06,0
HistGradientBoostingClassifier,codigo_dhi,21,1.0,1.0,1.0,2024-12-06,0
MLP,codigo_ghi,14,1.0,1.0,1.0,2024-12-07,0
HistGradientBoostingClassifier,codigo_dni,18,1.0,1.0,1.0,2024-12-07,0
HistGradientBoostingClassifier,codigo_dhi,21,1.0,1.0,1.0,2024-12-07,0
MLP,codigo_ghi,14,0.49295774647887325,0.5,0.9585289514866979,2024-12-08,40
HistGradientBoostingClassifier,codigo_dni,18,0.4986072423398329,0.5,0.9916744042092231,2024-12-08,8
HistGradientBoostingClassifier,codigo_dhi,21,0.0,0.0,0.0,2024-12-08,1440
MLP,codigo_ghi,14,0.4933145672061928,0.5,0.9605930878098365,2024-12-09,38
HistGradientBoostingClassifier,codigo_dni,18,1.0,1.0,1.0,2024-12-09,0
HistGradientBoostingClassifier,codigo_dhi,21,0.007778540379775795,0.011805555555555555,0.02333562113932738,2024-12-09,1423
MLP,codigo_ghi,14,0.4922425952045134,0.5,0.9544036984798622,2024-12-10,44
HistGradientBoostingClassifier,codigo_dni,18,0.4987817612252001,0.5,0.9927142553273774,2024-12-10,7
HistGradientBoostingClassifier,codigo_dhi,21,0.007778540379775795,0.011805555555555555,0.02333562113932738,2024-12-10,1423
MLP,codigo_ghi,14,0.49825783972125437,0.5,0.9895954316686024,2024-12-11,10
HistGradientBoostingClassifier,codigo_dni,18,1.0,1.0,1.0,2024-12-11,0
HistGradientBoostingClassifier,codigo_dhi,21,0.0,0.0,0.0,2024-12-11,1440
MLP,codigo_ghi,14,0.2052980132450331,0.25833333333333336,0.4105960264900662,2024-12-12,1068
HistGradientBoostingClassifier,codigo_dni,18,0.3033381712626996,0.4354166666666667,0.6066763425253991,2024-12-12,813
HistGradientBoostingClassifier,codigo_dhi,21,0.30300096805421106,0.43472222222222223,0.6060019361084221,2024-12-12,814
MLP,codigo_ghi,14,0.20965971459934138,0.2652777777777778,0.41931942919868276,2024-12-13,1058
HistGradientBoostingClassifier,codigo_dni,18,0.30300096805421106,0.43472222222222223,0.6060019361084221,2024-12-13,814
HistGradientBoostingClassifier,codigo_dhi,21,0.30300096805421106,0.43472222222222223,0.6060019361084221,2024-12-13,814
MLP,codigo_ghi,14,0.21311475409836064,0.2708333333333333,0.4262295081967213,2024-12-14,1050
HistGradientBoostingClassifier,codigo_dni,18,1.0,1.0,1.0,2024-12-14,0
HistGradientBoostingClassifier,codigo_dhi,21,0.4372801875732708,0.7770833333333333,0.8745603751465416,2024-12-14,321
MLP,codigo_ghi,14,0.2148309705561614,0.27361111111111114,0.4296619411123228,2024-12-15,1046
HistGradientBoostingClassifier,codigo_dni,18,1.0,1.0,1.0,2024-12-15,0
HistGradientBoostingClassifier,codigo_dhi,21,1.0,1.0,1.0,2024-12-15,0
MLP,codigo_ghi,14,0.04509283819628647,0.04722222222222222,0.09018567639257294,2024-12-16,1372
HistGradientBoostingClassifier,codigo_dni,18,0.2979034617259873,0.42430555555555555,0.5958069234519746,2024-12-16,829
HistGradientBoostingClassifier,codigo_dhi,21,0.2979034617259873,0.42430555555555555,0.5958069234519746,2024-12-16,829
MLP,codigo_ghi,14,1.0,1.0,1.0,2024-12-17,0
HistGradientBoostingClassifier,codigo_dni,18,1.0,1.0,1.0,2024-12-17,0
HistGradientBoostingClassifier,codigo_dhi,21,0.4989561586638831,0.9958333333333333,0.9979123173277661,2024-12-17,6
MLP,codigo_ghi,14,1.0,1.0,1.0,2024-12-18,0
HistGradientBoostingClassifier,codigo_dni,18,1.0,1.0,1.0,2024-12-18,0
HistGradientBoostingClassifier,codigo_dhi,21,1.0,1.0,1.0,2024-12-18,0
MLP,codigo_ghi,14,0.49773282176491107,0.5,0.9864788009146224,2024-12-19,13
HistGradientBoostingClassifier,codigo_dni,18,1.0,1.0,1.0,2024-12-19,0
